Species,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,adult_body_mass_g,maximum_longevity_y,gestation_d,weaning_d,birth_or_hatching_weight_g,weaning_weight_g,egg_mass_g,incubation_d,fledging_age_d,longevity_y,male_maturity_d,inter_litter_or_interbirth_interval_y,female_body_mass_g,male_body_mass_g,no_sex_body_mass_g,egg_width_mm,egg_length_mm,fledging_mass_g,adult_svl_cm,male_svl_cm,female_svl_cm,birth_or_hatching_svl_cm,female_svl_at_maturity_cm,female_body_mass_at_maturity_g,no_sex_svl_cm,no_sex_maturity_d
Priodontes_maximus,320,1.5,NA,45190,15,122,35,113,NA,NA,NA,NA,14,320,NA,NA,NA,45190,NA,NA,NA,93.7495,NA,NA,NA,NA,NA,NA,NA
Tolypeutes_matacus,325.185,1,1,1225,36.8,125.14,55,99,NA,NA,NA,NA,36.40833333,320,NA,NA,NA,1160,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA
Tolypeutes_tricinctus,NA,0.93,1,1465.72,6.65,NA,NA,NA,NA,NA,NA,NA,6.65,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA
Zaedyus_pichiy,319.578,2,NA,1500,12.5,60.872,42,105,NA,NA,NA,NA,9,320,NA,NA,NA,1740,NA,NA,NA,31.625,NA,NA,NA,NA,NA,NA,NA
Antechinomys_laniger,350.06,6,1.5,25.8,3.5,12,90.62,NA,NA,NA,NA,NA,3.15,350,0.501026694,20,30,25.8,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA
Antechinus_adustus,289.18,6,1,NA,2,28,130,NA,NA,NA,NA,NA,1,NA,NA,28.5,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antechinus_agilis,317.195,7.5,1,26.25,5.408333333,27.575,90,0.013,13,NA,NA,NA,3,285,0.999315537,18,30,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antechinus_bellus,327.2,10.08,1,36.365,3.408333333,30,96,NA,NA,NA,NA,NA,2.15,NA,0.999315537,30,61.5,NA,NA,NA,NA,11.462,NA,NA,NA,NA,NA,NA,NA
Antechinus_flavipes,339.79,10,1,44.665,3.9,30,92.5,NA,NA,NA,NA,NA,2.3,NA,0.999315537,30,55.15,46.5,NA,NA,NA,11.462,NA,NA,NA,NA,NA,NA,NA
Antechinus_godmani,304.4,6,1,75.74,2,30,125.84,NA,NA,NA,NA,NA,1,NA,0.999315537,54,100.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antechinus_leo,304.4,9.095,1,70.09,2,30.99,100,NA,26,NA,NA,NA,1.5,NA,0.999315537,46,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antechinus_minimus,304.4,7.19,1,52.56,2,29.27,90,0.03,NA,NA,NA,NA,1.5,NA,0.999315537,47.5,60.5,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA
Antechinus_stuartii,294.7,6.945,1,27.85,5.408333333,28.15,92.5,0.013,16,NA,NA,NA,2.5,285,0.999315537,21.5,32.5,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antechinus_swainsonii,311.885,8.12,1,58.69,3.325,28.845,94.5,NA,11.915,NA,NA,NA,2,NA,0.999315537,68.5,71.4,66.9,NA,NA,NA,17.5,NA,NA,NA,NA,NA,NA,NA
Dasycercus_cristicauda,339.56,6.25,1,90,7.4,38.495,120,NA,21.485,NA,NA,NA,6.5,315,0.999315537,95,80,91,NA,NA,NA,19.75,NA,NA,NA,NA,NA,NA,NA
Dasykaluta_rosamondae,314.39,7.32,1,32.17,3,49.69,111.5,NA,3.84,NA,NA,NA,2.5,NA,0.999315537,25,35.3,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA
Dasyuroides_byrnei,273.96,6,2,105,8,32.745,110,0.0235,45,NA,NA,NA,7,216,0.467488022,87.5,123.6,100,NA,NA,NA,17.0245,NA,NA,NA,NA,NA,NA,NA
Dasyurus_albopunctatus,NA,6.19,NA,603.48,4.575,19.29,97.65,NA,193.91,NA,NA,NA,3,NA,NA,500,630,NA,NA,NA,NA,30.946,NA,NA,NA,NA,NA,NA,NA
Dasyurus_geoffroii,365.28,5.735,1,1300,6.241666667,16.83,156.06,0.0105,29.89,NA,NA,NA,5,NA,0.999315537,895,1305,1326.7,NA,NA,NA,49.945,NA,NA,NA,NA,NA,NA,NA
Dasyurus_hallucatus,324.92,6.595,1,564.5,5.908333333,NA,133.445,NA,100,NA,NA,NA,4.4,315,0.999315537,460,778,571,NA,NA,NA,28.208,NA,NA,NA,NA,NA,NA,NA
Dasyurus_maculatus,365.28,4.47,1,1782,6.8,21,135,NA,664,NA,NA,NA,5,340,0.999315537,1900,3750,1782,NA,NA,NA,59.3645,86.55,77.65,0.7,NA,NA,NA,365.28
Dasyurus_spartacus,NA,6.78,NA,885.67,3,19.12,97.65,NA,NA,NA,NA,NA,3,NA,NA,680,1000,NA,NA,NA,NA,36.8135,NA,NA,NA,NA,NA,NA,NA
Dasyurus_viverrinus,365.28,6,1,982,6.816666667,20.5,153.3,0.015,501.415,NA,NA,NA,6.8,335,0.999315537,900,1300,945.3,NA,NA,NA,39.169,NA,NA,0.4,NA,NA,NA,NA
Micromurexia_habbema,NA,3.65,NA,40.94,NA,NA,91.32,NA,NA,NA,NA,NA,NA,NA,NA,31,42,NA,NA,NA,NA,11.007,NA,NA,NA,NA,NA,NA,NA
Murexechinus_melanurus,369.72,3.745,1,38.02,0.166666667,22,106.54,NA,17,NA,NA,NA,0.166666667,NA,NA,36,47.1,NA,NA,NA,NA,10.811,NA,NA,NA,NA,NA,NA,NA
Murexia_longicaudata,258.74,3.8,NA,126.79,NA,19.5,106.54,NA,NA,NA,NA,NA,NA,NA,NA,54,102,NA,NA,NA,NA,23.2715,NA,NA,NA,NA,NA,NA,NA
Myoictis_melas,NA,NA,NA,221.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,113.75,NA,NA,NA,NA,22.046,NA,NA,NA,NA,NA,NA,NA
Myoictis_wallacii,NA,NA,NA,221.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,117.5,NA,NA,NA,NA,22.046,NA,NA,NA,NA,NA,NA,NA
Neophascogale_lorentzi,NA,NA,NA,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237,NA,NA,NA,NA,21.2885,NA,NA,NA,NA,NA,NA,NA
Ningaui_ridei,328.8,5.99,2,9.21,2.241666667,14,80.37,0.005,NA,NA,NA,NA,2,NA,0.999315537,NA,9.5,NA,NA,NA,NA,5.7,NA,NA,NA,NA,NA,NA,NA
Ningaui_timealeyi,NA,5.85,2,7.885,2,14,78,0.005,2.25,NA,NA,NA,2,NA,0.999315537,NA,9.4,NA,NA,NA,NA,5.7,NA,NA,NA,NA,NA,NA,NA
Ningaui_yvonnae,243.52,7,2,11.55,2,NA,NA,NA,NA,NA,NA,NA,1.083333333,243.52,1,NA,10,NA,NA,NA,NA,5.7,NA,NA,NA,NA,NA,NA,NA
Paramurexia_rothschildi,289.18,4,NA,53.77,NA,20,106.54,NA,24,NA,NA,NA,NA,NA,NA,60,55,NA,NA,NA,NA,12.955,NA,NA,NA,NA,NA,NA,NA
Parantechinus_apicalis,324.92,7.75,1,70.655,5.5,48.25,117.35,NA,NA,NA,NA,NA,3,315,0.999315537,57.5,63.6,NA,NA,NA,NA,14.375,NA,NA,NA,NA,NA,NA,NA
Phascogale_calura,334.84,7.5,1,43.015,4.7,29.245,89.995,NA,NA,NA,NA,NA,3,NA,0.999315537,39,47.2,NA,NA,NA,NA,11.5,NA,NA,NA,NA,NA,NA,NA
Phascogale_tapoatafa,365.28,6.595,1,157,5.908333333,28.575,149.57,NA,44,NA,NA,NA,4,365,0.999315537,150,205,153.7,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA
